um	
0.375124	0.0220864
0.411798	0.0420673
0.452057	0.070571
0.496252	0.097021
0.544768	0.121504
0.598027	0.143518
0.656493	0.162568
0.720675	0.178092
0.791132	0.189579
0.868477	0.196545
0.953383	0.198593
1.04659	0.195462
1.14891	0.187446
1.26123	0.175047
1.38454	0.158911
1.5199	0.139897
1.66849	0.119022
1.83161	0.0975344
2.01068	0.076953
2.20725	0.0590518
2.42304	0.0459392
2.65993	0.0394968
2.91998	0.041347
3.20545	0.0526478
3.51883	0.073584
3.86284	0.102608
4.24049	0.13567
4.65506	0.1676
5.11017	0.192433
5.60976	0.205845
6.1582	0.205359
6.76025	0.192025
7.42117	0.169006
8.14669	0.140952
8.94315	0.116096
9.81748	0.10111
10.7773	0.103415
11.8309	0.119532
12.9876	0.137819
14.2573	0.155573
15.6512	0.160864
17.1813	0.143221
18.861	0.122192
20.705	0.119719
22.7292	0.136837
24.9513	0.165148
27.3906	0.204772
30.0685	0.259643
33.0081	0.301215
36.2352	0.286481
39.7777	0.242834
43.6665	0.226025
47.9356	0.260383
52.622	0.34641
57.7666	0.424425
63.4141	0.405971
69.6138	0.331737
76.4196	0.341113
83.8907	0.498831
92.0923	0.705095
101.096	0.811951
110.979	0.902791
121.829	1.16835
133.74	1.68353
146.815	2.4067
161.168	3.33468
176.925	4.55911
194.222	6.1131
213.21	7.78989
234.054	9.14433
256.936	9.68873
282.056	9.12781
309.631	7.60148
339.902	5.79334
373.132	4.47339
409.611	3.87238
449.657	3.70883
493.617	3.44753
541.876	2.49479
594.852	0.955684
653.008	0.108052
716.849	0.00110388
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

