um	
0.375124	0.0349642
0.411798	0.0665048
0.452057	0.111311
0.496252	0.1525
0.544768	0.190123
0.598027	0.223311
0.656493	0.251283
0.720675	0.273197
0.791132	0.288408
0.868477	0.29639
0.953383	0.296899
1.04659	0.289963
1.14891	0.276504
1.26123	0.25763
1.38454	0.234559
1.5199	0.208568
1.66849	0.180938
1.83161	0.153042
2.01068	0.126581
2.20725	0.103753
2.42304	0.0876921
2.65993	0.0818446
2.91998	0.0899313
3.20545	0.115136
3.51883	0.158483
3.86284	0.217285
4.24049	0.283226
4.65506	0.345277
5.11017	0.390301
5.60976	0.409622
6.1582	0.398822
6.76025	0.362447
7.42117	0.308457
8.14669	0.246424
8.94315	0.190172
9.81748	0.151935
10.7773	0.152129
11.8309	0.182382
12.9876	0.214814
14.2573	0.243509
15.6512	0.242679
17.1813	0.197935
18.861	0.158678
20.705	0.165616
22.7292	0.204623
24.9513	0.239618
27.3906	0.283876
30.0685	0.380994
33.0081	0.480382
36.2352	0.455141
39.7777	0.350146
43.6665	0.301209
47.9356	0.371256
52.622	0.569336
57.7666	0.758985
63.4141	0.737327
69.6138	0.606825
76.4196	0.67526
83.8907	1.08209
92.0923	1.59246
101.096	1.89436
110.979	2.19515
121.829	2.85136
133.74	3.87254
146.815	4.99119
161.168	6.06462
176.925	7.15038
194.222	8.22613
213.21	9.00523
234.054	9.03655
256.936	7.96875
282.056	5.81675
309.631	3.11224
339.902	1.12788
373.132	0.731389
409.611	1.69636
449.657	2.84653
493.617	2.19176
541.876	0.675708
594.852	0.0443562
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

