um	
0.375124	0.0426018
0.411798	0.081013
0.452057	0.135516
0.496252	0.185511
0.544768	0.231029
0.598027	0.271006
0.656493	0.304488
0.720675	0.330483
0.791132	0.348254
0.868477	0.357239
0.953383	0.357253
1.04659	0.348432
1.14891	0.332005
1.26123	0.309313
1.38454	0.281837
1.5199	0.250935
1.66849	0.21802
1.83161	0.184438
2.01068	0.152171
2.20725	0.123912
2.42304	0.103951
2.65993	0.0973693
2.91998	0.109596
3.20545	0.146041
3.51883	0.208835
3.86284	0.294586
4.24049	0.391416
4.65506	0.48266
5.11017	0.548357
5.60976	0.574854
6.1582	0.555212
6.76025	0.497038
7.42117	0.41292
8.14669	0.319133
8.94315	0.235104
9.81748	0.177723
10.7773	0.175254
11.8309	0.210815
12.9876	0.24726
14.2573	0.277403
15.6512	0.26249
17.1813	0.192571
18.861	0.145095
20.705	0.171561
22.7292	0.23416
24.9513	0.253985
27.3906	0.269787
30.0685	0.3801
33.0081	0.530823
36.2352	0.499295
39.7777	0.332667
43.6665	0.256415
47.9356	0.348187
52.622	0.595807
57.7666	0.803573
63.4141	0.749908
69.6138	0.604858
76.4196	0.698582
83.8907	1.13371
92.0923	1.61948
101.096	1.85968
110.979	2.12179
121.829	2.77936
133.74	3.80815
146.815	4.89484
161.168	5.93761
176.925	7.07979
194.222	8.2758
213.21	9.11697
234.054	9.11261
256.936	8.02373
282.056	5.89713
309.631	3.05146
339.902	0.943306
373.132	0.617763
409.611	1.70567
449.657	2.53243
493.617	1.15191
541.876	0.0959662
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

