um	
0.375124	0.0343883
0.411798	0.0618629
0.452057	0.0914138
0.496252	0.130405
0.544768	0.161356
0.598027	0.188337
0.656493	0.211268
0.720675	0.232535
0.791132	0.246729
0.868477	0.254694
0.953383	0.25561
1.04659	0.250918
1.14891	0.240483
1.26123	0.224745
1.38454	0.205189
1.5199	0.183284
1.66849	0.162061
1.83161	0.142607
2.01068	0.127853
2.20725	0.117964
2.42304	0.115178
2.65993	0.119759
2.91998	0.134133
3.20545	0.156984
3.51883	0.18665
3.86284	0.219457
4.24049	0.253213
4.65506	0.285935
5.11017	0.313098
5.60976	0.330321
6.1582	0.331995
6.76025	0.321161
7.42117	0.298459
8.14669	0.269591
8.94315	0.233977
9.81748	0.200007
10.7773	0.172777
11.8309	0.157664
12.9876	0.155444
14.2573	0.154423
15.6512	0.15925
17.1813	0.160216
18.861	0.177503
20.705	0.203559
22.7292	0.245955
24.9513	0.298995
27.3906	0.349203
30.0685	0.405834
33.0081	0.449411
36.2352	0.49785
39.7777	0.54094
43.6665	0.584819
47.9356	0.630481
52.622	0.669232
57.7666	0.70581
63.4141	0.7377
69.6138	0.777202
76.4196	0.837362
83.8907	0.934537
92.0923	1.07958
101.096	1.28428
110.979	1.55736
121.829	1.92966
133.74	2.44963
146.815	3.17631
161.168	4.12981
176.925	5.22906
194.222	6.2712
213.21	6.97781
234.054	7.12215
256.936	6.64792
282.056	5.71518
309.631	4.6283
339.902	3.68882
373.132	3.06408
409.611	2.75393
449.657	2.633
493.617	2.5121
541.876	2.22001
594.852	1.70171
653.008	1.07595
716.849	0.582233
786.932	0.348252
863.866	0.352467
948.322	0.535404
1041.03	0.79021
1142.81	0.908549
1254.54	0.752473
1377.19	0.421435
1511.83	0.138464
1659.63	0.021885
1821.88	0.000999561
2000	

