um	
0.375124	0.0227739
0.411798	0.0433843
0.452057	0.0728071
0.496252	0.10015
0.544768	0.125514
0.598027	0.148391
0.656493	0.168275
0.720675	0.184585
0.791132	0.196783
0.868477	0.204352
0.953383	0.206851
1.04659	0.203966
1.14891	0.195953
1.26123	0.183285
1.38454	0.166593
1.5199	0.146745
1.66849	0.1248
1.83161	0.102089
2.01068	0.0802515
2.20725	0.0612204
2.42304	0.0472766
2.65993	0.040439
2.91998	0.0423964
3.20545	0.0543425
3.51883	0.0764284
3.86284	0.106941
4.24049	0.141562
4.65506	0.174832
5.11017	0.200557
5.60976	0.21431
6.1582	0.213657
6.76025	0.199804
7.42117	0.176069
8.14669	0.147155
8.94315	0.121199
9.81748	0.104952
10.7773	0.106253
11.8309	0.121733
12.9876	0.139656
14.2573	0.157357
15.6512	0.162891
17.1813	0.145293
18.861	0.123591
20.705	0.119685
22.7292	0.134929
24.9513	0.161508
27.3906	0.200111
30.0685	0.255774
33.0081	0.2991
36.2352	0.283144
39.7777	0.235881
43.6665	0.216569
47.9356	0.251295
52.622	0.341374
57.7666	0.423732
63.4141	0.403424
69.6138	0.323268
76.4196	0.327996
83.8907	0.482284
92.0923	0.687394
101.096	0.798423
110.979	0.896271
121.829	1.16482
133.74	1.68027
146.815	2.41063
161.168	3.35459
176.925	4.59848
194.222	6.17707
213.21	7.87913
234.054	9.23291
256.936	9.73499
282.056	9.12196
309.631	7.58288
339.902	5.80683
373.132	4.52454
409.611	3.93132
449.657	3.71634
493.617	3.33133
541.876	2.27583
594.852	0.800229
653.008	0.0758704
716.849	0.000353833
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

