um	
0.375124	0.116228
0.411798	0.207518
0.452057	0.304073
0.496252	0.434134
0.544768	0.536746
0.598027	0.622228
0.656493	0.688143
0.720675	0.747628
0.791132	0.783756
0.868477	0.79343
0.953383	0.769942
1.04659	0.719024
1.14891	0.649683
1.26123	0.559669
1.38454	0.453015
1.5199	0.325088
1.66849	0.197745
1.83161	0.0890264
2.01068	0.0269929
2.20725	0.00404172
2.42304	0.00195195
2.65993	0.0136535
2.91998	0.0803023
3.20545	0.239686
3.51883	0.486553
3.86284	0.787368
4.24049	1.13043
4.65506	1.48968
5.11017	1.80404
5.60976	2.00942
6.1582	2.06562
6.76025	1.98365
7.42117	1.79204
8.14669	1.52652
8.94315	1.22781
9.81748	0.971429
10.7773	0.811814
11.8309	0.768739
12.9876	0.808259
14.2573	0.850146
15.6512	0.851079
17.1813	0.774961
18.861	0.713667
20.705	0.692572
22.7292	0.759475
24.9513	0.906322
27.3906	1.07087
30.0685	1.23419
33.0081	1.30657
36.2352	1.31929
39.7777	1.27801
43.6665	1.23557
47.9356	1.25069
52.622	1.32431
57.7666	1.46395
63.4141	1.62813
69.6138	1.77708
76.4196	1.87343
83.8907	1.9181
92.0923	1.96149
101.096	2.14989
110.979	2.66198
121.829	3.6589
133.74	5.11927
146.815	6.61807
161.168	7.45152
176.925	7.06155
194.222	5.46354
213.21	3.13542
234.054	1.21241
256.936	0.232269
282.056	0.0181734
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

