um	
0.375124	0.0591357
0.411798	0.106284
0.452057	0.156813
0.496252	0.223254
0.544768	0.275182
0.598027	0.319251
0.656493	0.355257
0.720675	0.387384
0.791132	0.406254
0.868477	0.412456
0.953383	0.404623
1.04659	0.385435
1.14891	0.355538
1.26123	0.314938
1.38454	0.266994
1.5199	0.214454
1.66849	0.16465
1.83161	0.120126
2.01068	0.0874169
2.20725	0.0661756
2.42304	0.0603202
2.65993	0.0702315
2.91998	0.102729
3.20545	0.157499
3.51883	0.230659
3.86284	0.312734
4.24049	0.398865
4.65506	0.485022
5.11017	0.559362
5.60976	0.610343
6.1582	0.625546
6.76025	0.610483
7.42117	0.568412
8.14669	0.510687
8.94315	0.438517
9.81748	0.371175
10.7773	0.320235
11.8309	0.297113
12.9876	0.30063
14.2573	0.307003
15.6512	0.325238
17.1813	0.331755
18.861	0.368782
20.705	0.412526
22.7292	0.478891
24.9513	0.560055
27.3906	0.636933
30.0685	0.74908
33.0081	0.854101
36.2352	0.99875
39.7777	1.15325
43.6665	1.33654
47.9356	1.56006
52.622	1.80923
57.7666	2.10718
63.4141	2.44806
69.6138	2.8565
76.4196	3.34354
83.8907	3.90043
92.0923	4.50366
101.096	5.13765
110.979	5.79992
121.829	6.49485
133.74	7.14869
146.815	7.56892
161.168	7.4707
176.925	6.64424
194.222	5.13634
213.21	3.28351
234.054	1.57466
256.936	0.501068
282.056	0.0808833
309.631	0.00483249
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

