um	
0.375124	0
0.411798	0
0.452057	0
0.496252	0
0.544768	0
0.598027	0
0.656493	0
0.720675	0
0.791132	0
0.868477	0
0.953383	0
1.04659	0
1.14891	0
1.26123	0
1.38454	0
1.5199	0
1.66849	0
1.83161	0
2.01068	0
2.20725	0
2.42304	0
2.65993	0
2.91998	0.000661616
3.20545	0.00819419
3.51883	0.0462737
3.86284	0.132651
4.24049	0.272205
4.65506	0.432165
5.11017	0.587424
5.60976	0.707858
6.1582	0.775076
6.76025	0.802006
7.42117	0.783022
8.14669	0.733685
8.94315	0.656258
9.81748	0.599831
10.7773	0.585463
11.8309	0.627974
12.9876	0.710324
14.2573	0.769954
15.6512	0.822048
17.1813	0.830454
18.861	0.895815
20.705	0.986169
22.7292	1.13664
24.9513	1.33219
27.3906	1.52195
30.0685	1.763
33.0081	1.9652
36.2352	2.20498
39.7777	2.42082
43.6665	2.63403
47.9356	2.85649
52.622	3.05833
57.7666	3.28098
63.4141	3.49859
69.6138	3.72855
76.4196	3.94921
83.8907	4.12769
92.0923	4.23404
101.096	4.26353
110.979	4.25746
121.829	4.27488
133.74	4.32608
146.815	4.32636
161.168	4.10618
176.925	3.52852
194.222	2.6062
213.21	1.53041
234.054	0.647507
256.936	0.165901
282.056	0.020938
309.631	0.000676533
339.902	0.00188291
373.132	0.0302619
409.611	0.179917
449.657	0.531056
493.617	0.994988
541.876	1.30687
594.852	1.28292
653.008	0.953133
716.849	0.582386
786.932	0.386281
863.866	0.41097
948.322	0.61414
1041.03	0.851096
1142.81	0.781457
1254.54	0.440502
1377.19	0.108251
1511.83	0.0110382
1659.63	0
1821.88	0
2000	

