um	
0.375124	0.0415523
0.411798	0.0789699
0.452057	0.131988
0.496252	0.180439
0.544768	0.224314
0.598027	0.26252
0.656493	0.294115
0.720675	0.318113
0.791132	0.333833
0.868477	0.340778
0.953383	0.338863
1.04659	0.328358
1.14891	0.310571
1.26123	0.286948
1.38454	0.258914
1.5199	0.227819
1.66849	0.194792
1.83161	0.160963
2.01068	0.127864
2.20725	0.0978314
2.42304	0.0750747
2.65993	0.0643424
2.91998	0.0710324
3.20545	0.100417
3.51883	0.155327
3.86284	0.233184
4.24049	0.322267
4.65506	0.407156
5.11017	0.468872
5.60976	0.496341
6.1582	0.484471
6.76025	0.441776
7.42117	0.380769
8.14669	0.310644
8.94315	0.245957
9.81748	0.201099
10.7773	0.213314
11.8309	0.275536
12.9876	0.338145
14.2573	0.386714
15.6512	0.378964
17.1813	0.29953
18.861	0.237691
20.705	0.266733
22.7292	0.360632
24.9513	0.43193
27.3906	0.498539
30.0685	0.640916
33.0081	0.777296
36.2352	0.738409
39.7777	0.63408
43.6665	0.659103
47.9356	0.84546
52.622	1.14416
57.7666	1.40032
63.4141	1.42993
69.6138	1.37187
76.4196	1.61572
83.8907	2.31941
92.0923	3.09763
101.096	3.53226
110.979	3.90624
121.829	4.69247
133.74	5.84365
146.815	6.85976
161.168	7.40931
176.925	7.64293
194.222	7.94092
213.21	7.99526
234.054	6.41567
256.936	3.20145
282.056	0.723627
309.631	0.0379169
339.902	0
373.132	0.0235528
409.611	0.420735
449.657	1.48162
493.617	1.76621
541.876	0.694789
594.852	0.0513469
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

