um	
0.375124	0.0591317
0.411798	0.105937
0.452057	0.15678
0.496252	0.223372
0.544768	0.275923
0.598027	0.320529
0.656493	0.358373
0.720675	0.392577
0.791132	0.414249
0.868477	0.423302
0.953383	0.419913
1.04659	0.406282
1.14891	0.382369
1.26123	0.347836
1.38454	0.30612
1.5199	0.261228
1.66849	0.218479
1.83161	0.180262
2.01068	0.150986
2.20725	0.132638
2.42304	0.129264
2.65993	0.143489
2.91998	0.179405
3.20545	0.235009
3.51883	0.305198
3.86284	0.383879
4.24049	0.466389
4.65506	0.545212
5.11017	0.604798
5.60976	0.630799
6.1582	0.615162
6.76025	0.566303
7.42117	0.495307
8.14669	0.412721
8.94315	0.326532
9.81748	0.255071
10.7773	0.211192
11.8309	0.200571
12.9876	0.2149
14.2573	0.232179
15.6512	0.240246
17.1813	0.226042
18.861	0.214266
20.705	0.211316
22.7292	0.231111
24.9513	0.273035
27.3906	0.320148
30.0685	0.369401
33.0081	0.394951
36.2352	0.405732
39.7777	0.400056
43.6665	0.390455
47.9356	0.39002
52.622	0.399352
57.7666	0.423816
63.4141	0.457658
69.6138	0.499029
76.4196	0.546135
83.8907	0.601825
92.0923	0.670986
101.096	0.764402
110.979	0.893788
121.829	1.08497
133.74	1.37455
146.815	1.80633
161.168	2.40505
176.925	3.13461
194.222	3.87818
213.21	4.45809
234.054	4.71208
256.936	4.57697
282.056	4.13136
309.631	3.5621
339.902	3.07233
373.132	2.79252
409.611	2.74631
449.657	2.8628
493.617	3.00506
541.876	3.03054
594.852	2.86886
653.008	2.57228
716.849	2.27603
786.932	2.11443
863.866	2.14767
948.322	2.33336
1041.03	2.52491
1142.81	2.53624
1254.54	2.23683
1377.19	1.66536
1511.83	1.05199
1659.63	0.623415
1821.88	0.401316
2000	

