um	
0.375124	0
0.411798	0
0.452057	0
0.496252	0
0.544768	0
0.598027	0
0.656493	0
0.720675	0
0.791132	0
0.868477	0
0.953383	0
1.04659	0
1.14891	0
1.26123	0
1.38454	0
1.5199	0
1.66849	0
1.83161	0
2.01068	0
2.20725	0
2.42304	0
2.65993	0
2.91998	0
3.20545	0.00147576
3.51883	0.027967
3.86284	0.175378
4.24049	0.5468
4.65506	1.09962
5.11017	1.65478
5.60976	2.08951
6.1582	2.3521
6.76025	2.46763
7.42117	2.42195
8.14669	2.25048
8.94315	2.00057
9.81748	1.84241
10.7773	1.87334
11.8309	2.11238
12.9876	2.46138
14.2573	2.69609
15.6512	2.77731
17.1813	2.66915
18.861	2.63239
20.705	2.69916
22.7292	2.94999
24.9513	3.34098
27.3906	3.70695
30.0685	4.05424
33.0081	4.19878
36.2352	4.25776
39.7777	4.191
43.6665	4.05852
47.9356	3.91207
52.622	3.70652
57.7666	3.49846
63.4141	3.26253
69.6138	3.03958
76.4196	2.84251
83.8907	2.65078
92.0923	2.40747
101.096	2.04595
110.979	1.53889
121.829	0.940519
133.74	0.418361
146.815	0.11131
161.168	0.0145222
176.925	0.00042417
194.222	0
213.21	0
234.054	0
256.936	0
282.056	0
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

