um	
0.375124	0.055157
0.411798	0.0988294
0.452057	0.146227
0.496252	0.208541
0.544768	0.258097
0.598027	0.300595
0.656493	0.336996
0.720675	0.370434
0.791132	0.392729
0.868477	0.40391
0.953383	0.40388
1.04659	0.394666
1.14891	0.376228
1.26123	0.348204
1.38454	0.313363
1.5199	0.274882
1.66849	0.237549
1.83161	0.203162
2.01068	0.17555
2.20725	0.156126
2.42304	0.14879
2.65993	0.155732
2.91998	0.180123
3.20545	0.219866
3.51883	0.271081
3.86284	0.329505
4.24049	0.391486
4.65506	0.451427
5.11017	0.497022
5.60976	0.517501
6.1582	0.506332
6.76025	0.470612
7.42117	0.418426
8.14669	0.357968
8.94315	0.294491
9.81748	0.242466
10.7773	0.211498
11.8309	0.206871
12.9876	0.221765
14.2573	0.236943
15.6512	0.245553
17.1813	0.23641
18.861	0.234259
20.705	0.240703
22.7292	0.268104
24.9513	0.313769
27.3906	0.360687
30.0685	0.409855
33.0081	0.436649
36.2352	0.453519
39.7777	0.456402
43.6665	0.456583
47.9356	0.465887
52.622	0.483498
57.7666	0.516979
63.4141	0.560056
69.6138	0.610933
76.4196	0.663547
83.8907	0.713538
92.0923	0.75921
101.096	0.805999
110.979	0.865068
121.829	0.960653
133.74	1.12414
146.815	1.39116
161.168	1.78675
176.925	2.30249
194.222	2.88516
213.21	3.44415
234.054	3.89076
256.936	4.18033
282.056	4.33225
309.631	4.41199
339.902	4.4882
373.132	4.59106
409.611	4.68959
449.657	4.69932
493.617	4.51812
541.876	4.08937
594.852	3.44677
653.008	2.72729
716.849	2.10386
786.932	1.70166
863.866	1.54212
948.322	1.55269
1041.03	1.58971
1142.81	1.51633
1254.54	1.25814
1377.19	0.901743
1511.83	0.613898
1659.63	0.440972
1821.88	0.477084
2000	

