um	
0.375124	0.0321059
0.411798	0.0610872
0.452057	0.102324
0.496252	0.140343
0.544768	0.175223
0.598027	0.206173
0.656493	0.232471
0.720675	0.253305
0.791132	0.268011
0.868477	0.275988
0.953383	0.276833
1.04659	0.27036
1.14891	0.257166
1.26123	0.2381
1.38454	0.214068
1.5199	0.186227
1.66849	0.155755
1.83161	0.124205
2.01068	0.0935553
2.20725	0.0665356
2.42304	0.0470602
2.65993	0.0387255
2.91998	0.0450207
3.20545	0.0694724
3.51883	0.113746
3.86284	0.175069
4.24049	0.244431
4.65506	0.310612
5.11017	0.360151
5.60976	0.384697
6.1582	0.380028
6.76025	0.35096
7.42117	0.306015
8.14669	0.253025
8.94315	0.2055
9.81748	0.173239
10.7773	0.17956
11.8309	0.221916
12.9876	0.267337
14.2573	0.305965
15.6512	0.308852
17.1813	0.25803
18.861	0.210334
20.705	0.219943
22.7292	0.281092
24.9513	0.353034
27.3906	0.438698
30.0685	0.561871
33.0081	0.647133
36.2352	0.605304
39.7777	0.544572
43.6665	0.595312
47.9356	0.767732
52.622	1.03035
57.7666	1.27722
63.4141	1.34845
69.6138	1.32872
76.4196	1.56602
83.8907	2.24969
92.0923	3.05667
101.096	3.56713
110.979	4.01394
121.829	4.84451
133.74	6.00794
146.815	7.04009
161.168	7.66477
176.925	7.98077
194.222	8.18441
213.21	8.04121
234.054	6.63488
256.936	3.78091
282.056	1.05313
309.631	0.0678787
339.902	0
373.132	0.0418549
409.611	0.640698
449.657	1.92883
493.617	2.01724
541.876	0.727522
594.852	0.0509056
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

