um	
0.375124	0.0352667
0.411798	0.0634267
0.452057	0.093808
0.496252	0.133824
0.544768	0.165551
0.598027	0.193179
0.656493	0.216758
0.720675	0.238549
0.791132	0.25297
0.868477	0.260876
0.953383	0.261549
1.04659	0.256243
1.14891	0.244688
1.26123	0.227308
1.38454	0.205636
1.5199	0.181139
1.66849	0.156725
1.83161	0.133546
2.01068	0.114538
2.20725	0.10018
2.42304	0.0927501
2.65993	0.092668
2.91998	0.102185
3.20545	0.120441
3.51883	0.146263
3.86284	0.176592
4.24049	0.209393
4.65506	0.242624
5.11017	0.271992
5.60976	0.293397
6.1582	0.301529
6.76025	0.298384
7.42117	0.284072
8.14669	0.263497
8.94315	0.236469
9.81748	0.210785
10.7773	0.191091
11.8309	0.182273
12.9876	0.184799
14.2573	0.188599
15.6512	0.196425
17.1813	0.198271
18.861	0.210034
20.705	0.225761
22.7292	0.252463
24.9513	0.288778
27.3906	0.324613
30.0685	0.368923
33.0081	0.402877
36.2352	0.437817
39.7777	0.463125
43.6665	0.484382
47.9356	0.50744
52.622	0.532114
57.7666	0.568998
63.4141	0.617002
69.6138	0.679736
76.4196	0.753857
83.8907	0.83654
92.0923	0.924331
101.096	1.02204
110.979	1.14386
121.829	1.32899
133.74	1.63837
146.815	2.14792
161.168	2.91326
176.925	3.91355
194.222	5.0139
213.21	5.98481
234.054	6.59636
256.936	6.72392
282.056	6.40766
309.631	5.82108
339.902	5.17804
373.132	4.63172
409.611	4.22198
449.657	3.88026
493.617	3.47916
541.876	2.90647
594.852	2.14365
653.008	1.31319
716.849	0.659548
786.932	0.332695
863.866	0.28621
948.322	0.444855
1041.03	0.719427
1142.81	0.895256
1254.54	0.766429
1377.19	0.431943
1511.83	0.134058
1659.63	0.0197017
1821.88	0.000625482
2000	

