um	
0.375124	0.0279935
0.411798	0.0503605
0.452057	0.0744267
0.496252	0.106109
0.544768	0.131116
0.598027	0.152773
0.656493	0.171023
0.720675	0.187727
0.791132	0.198414
0.868477	0.20374
0.953383	0.203033
1.04659	0.197371
1.14891	0.186605
1.26123	0.171096
1.38454	0.152107
1.5199	0.130851
1.66849	0.109851
1.83161	0.0901562
2.01068	0.0743303
2.20725	0.0626509
2.42304	0.0570321
2.65993	0.0577672
2.91998	0.0669399
3.20545	0.0839232
3.51883	0.107842
3.86284	0.13594
4.24049	0.166493
4.65506	0.19773
5.11017	0.225816
5.60976	0.247074
6.1582	0.256674
6.76025	0.256346
7.42117	0.245959
8.14669	0.22977
8.94315	0.207607
9.81748	0.186709
10.7773	0.171209
11.8309	0.16528
12.9876	0.169038
14.2573	0.172966
15.6512	0.179893
17.1813	0.180937
18.861	0.191319
20.705	0.205633
22.7292	0.230333
24.9513	0.264256
27.3906	0.298148
30.0685	0.340738
33.0081	0.374742
36.2352	0.410858
39.7777	0.438155
43.6665	0.460306
47.9356	0.480755
52.622	0.498098
57.7666	0.522669
63.4141	0.555093
69.6138	0.601725
76.4196	0.661804
83.8907	0.732868
92.0923	0.809043
101.096	0.887721
110.979	0.97342
121.829	1.09302
133.74	1.29601
146.815	1.65111
161.168	2.22038
176.925	3.01481
194.222	3.95447
213.21	4.86967
234.054	5.56909
256.936	5.92669
282.056	5.9383
309.631	5.70757
339.902	5.3809
373.132	5.07053
409.611	4.80851
449.657	4.54491
493.617	4.18656
541.876	3.66106
594.852	2.97943
653.008	2.25761
716.849	1.65773
786.932	1.28997
863.866	1.16372
948.322	1.20034
1041.03	1.26737
1142.81	1.21103
1254.54	0.941653
1377.19	0.528708
1511.83	0.18642
1659.63	0.0321438
1821.88	0.00190187
2000	

