um	
0.375124	0.050533
0.411798	0.0908242
0.452057	0.134113
0.496252	0.191038
0.544768	0.235763
0.598027	0.274029
0.656493	0.30581
0.720675	0.33451
0.791132	0.352203
0.868477	0.359619
0.953383	0.355733
1.04659	0.342689
1.14891	0.32074
1.26123	0.290218
1.38454	0.253775
1.5199	0.213845
1.66849	0.175724
1.83161	0.14143
2.01068	0.115758
2.20725	0.0989548
2.42304	0.094273
2.65993	0.102393
2.91998	0.127557
3.20545	0.168596
3.51883	0.222545
3.86284	0.283047
4.24049	0.346211
4.65506	0.408539
5.11017	0.4617
5.60976	0.49732
6.1582	0.506207
6.76025	0.492288
7.42117	0.457798
8.14669	0.411499
8.94315	0.354036
9.81748	0.299648
10.7773	0.257588
11.8309	0.236966
12.9876	0.237628
14.2573	0.242463
15.6512	0.255926
17.1813	0.260992
18.861	0.285233
20.705	0.314881
22.7292	0.360515
24.9513	0.417423
27.3906	0.470742
30.0685	0.542874
33.0081	0.605434
36.2352	0.685744
39.7777	0.766021
43.6665	0.8568
47.9356	0.965045
52.622	1.08324
57.7666	1.22729
63.4141	1.39875
69.6138	1.61739
76.4196	1.89844
83.8907	2.24848
92.0923	2.65934
101.096	3.11948
110.979	3.61391
121.829	4.16554
133.74	4.80962
146.815	5.57029
161.168	6.39648
176.925	7.10819
194.222	7.43148
213.21	7.10759
234.054	6.05441
256.936	4.46188
282.056	2.78239
309.631	1.51087
339.902	0.862581
373.132	0.715746
409.611	0.87465
449.657	1.12433
493.617	1.18113
541.876	0.854078
594.852	0.396
653.008	0.0855548
716.849	0.00762654
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

