um	
0.375124	0
0.411798	0
0.452057	0
0.496252	0
0.544768	0
0.598027	0
0.656493	0
0.720675	0
0.791132	0
0.868477	0
0.953383	0
1.04659	0
1.14891	0
1.26123	0
1.38454	0
1.5199	0
1.66849	0
1.83161	0
2.01068	0
2.20725	0
2.42304	0
2.65993	0
2.91998	0.000882232
3.20545	0.0105629
3.51883	0.0583499
3.86284	0.163509
4.24049	0.330636
4.65506	0.519653
5.11017	0.70245
5.60976	0.842976
6.1582	0.919377
6.76025	0.947361
7.42117	0.921716
8.14669	0.861077
8.94315	0.768893
9.81748	0.701911
10.7773	0.685035
11.8309	0.735948
12.9876	0.834154
14.2573	0.907116
15.6512	0.968815
17.1813	0.977079
18.861	1.04665
20.705	1.14396
22.7292	1.31071
24.9513	1.53081
27.3906	1.74508
30.0685	2.01486
33.0081	2.23611
36.2352	2.49434
39.7777	2.72291
43.6665	2.94906
47.9356	3.18929
52.622	3.40899
57.7666	3.65162
63.4141	3.8834
69.6138	4.11853
76.4196	4.33524
83.8907	4.50435
92.0923	4.60606
101.096	4.65995
110.979	4.70496
121.829	4.78922
133.74	4.87497
146.815	4.81746
161.168	4.43905
176.925	3.6365
194.222	2.5019
213.21	1.29821
234.054	0.446166
256.936	0.0772042
282.056	0.00492375
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

