um	
0.375124	0.0373316
0.411798	0.0671419
0.452057	0.098273
0.496252	0.139511
0.544768	0.172049
0.598027	0.199279
0.656493	0.220082
0.720675	0.237489
0.791132	0.247402
0.868477	0.249005
0.953383	0.240397
1.04659	0.222177
1.14891	0.198297
1.26123	0.168237
1.38454	0.134295
1.5199	0.0940297
1.66849	0.0542936
1.83161	0.0222124
2.01068	0.00570765
2.20725	0.000687384
2.42304	0.000827151
2.65993	0.00821843
2.91998	0.0463603
3.20545	0.131868
3.51883	0.258375
3.86284	0.40175
4.24049	0.55687
4.65506	0.715276
5.11017	0.856325
5.60976	0.958768
6.1582	1.00299
6.76025	0.996297
7.42117	0.943841
8.14669	0.861829
8.94315	0.755857
9.81748	0.662797
10.7773	0.605589
11.8309	0.602743
12.9876	0.644445
14.2573	0.684093
15.6512	0.722555
17.1813	0.723862
18.861	0.759982
20.705	0.812774
22.7292	0.913613
24.9513	1.05457
27.3906	1.19376
30.0685	1.36669
33.0081	1.50092
36.2352	1.64884
39.7777	1.77051
43.6665	1.88507
47.9356	2.00735
52.622	2.11946
57.7666	2.25353
63.4141	2.39862
69.6138	2.576
76.4196	2.78681
83.8907	3.01923
92.0923	3.2526
101.096	3.47826
110.979	3.70774
121.829	4.01168
133.74	4.44229
146.815	4.99804
161.168	5.55853
176.925	5.86299
194.222	5.65808
213.21	4.83464
234.054	3.49645
256.936	1.92438
282.056	0.710053
309.631	0.131065
339.902	0.0246626
373.132	0.0407389
409.611	0.179617
449.657	0.367273
493.617	0.479903
541.876	0.429985
594.852	0.266056
653.008	0.106408
716.849	0.0199504
786.932	0.00145522
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

