um	
0.375124	0.0617866
0.411798	0.110688
0.452057	0.16383
0.496252	0.233435
0.544768	0.288461
0.598027	0.335245
0.656493	0.375073
0.720675	0.411133
0.791132	0.434224
0.868477	0.444249
0.953383	0.441442
1.04659	0.427996
1.14891	0.403839
1.26123	0.368621
1.38454	0.325885
1.5199	0.279727
1.66849	0.235541
1.83161	0.195749
2.01068	0.164842
2.20725	0.144958
2.42304	0.140393
2.65993	0.153937
2.91998	0.189627
3.20545	0.245298
3.51883	0.315875
3.86284	0.395483
4.24049	0.479351
4.65506	0.559483
5.11017	0.619593
5.60976	0.644981
6.1582	0.627739
6.76025	0.576772
7.42117	0.503563
8.14669	0.418906
8.94315	0.331514
9.81748	0.260218
10.7773	0.217748
11.8309	0.209159
12.9876	0.225176
14.2573	0.24267
15.6512	0.249202
17.1813	0.232401
18.861	0.21852
20.705	0.214505
22.7292	0.234549
24.9513	0.277648
27.3906	0.326027
30.0685	0.375967
33.0081	0.40102
36.2352	0.410636
39.7777	0.403821
43.6665	0.393904
47.9356	0.394589
52.622	0.406302
57.7666	0.433966
63.4141	0.470846
69.6138	0.514121
76.4196	0.561482
83.8907	0.616091
92.0923	0.683897
101.096	0.777343
110.979	0.909647
121.829	1.10796
133.74	1.40948
146.815	1.85749
161.168	2.47446
176.925	3.21987
194.222	3.97185
213.21	4.54996
234.054	4.79402
256.936	4.64815
282.056	4.19919
309.631	3.63684
339.902	3.15833
373.132	2.88275
409.611	2.82034
449.657	2.88873
493.617	2.94911
541.876	2.87774
594.852	2.63861
653.008	2.31518
716.849	2.0452
786.932	1.94021
863.866	2.02721
948.322	2.23515
1041.03	2.40118
1142.81	2.36408
1254.54	2.04207
1377.19	1.52553
1511.83	1.03053
1659.63	0.695763
1821.88	0.582299
2000	

