um	
0.375124	0.0419642
0.411798	0.0797754
0.452057	0.133364
0.496252	0.182391
0.544768	0.226853
0.598027	0.265664
0.656493	0.297868
0.720675	0.322479
0.791132	0.338791
0.868477	0.346299
0.953383	0.344898
1.04659	0.33485
1.14891	0.3175
1.26123	0.294326
1.38454	0.266898
1.5199	0.236662
1.66849	0.204992
1.83161	0.173156
2.01068	0.142864
2.20725	0.116448
2.42304	0.0976963
2.65993	0.0911204
2.91998	0.101725
3.20545	0.134355
3.51883	0.191005
3.86284	0.268714
4.24049	0.356763
4.65506	0.440366
5.11017	0.501632
5.60976	0.528535
6.1582	0.514684
6.76025	0.466324
7.42117	0.393964
8.14669	0.310642
8.94315	0.234252
9.81748	0.18147
10.7773	0.181236
11.8309	0.219743
12.9876	0.258666
14.2573	0.29034
15.6512	0.279074
17.1813	0.212073
18.861	0.161381
20.705	0.178896
22.7292	0.236871
24.9513	0.272668
27.3906	0.31069
30.0685	0.425979
33.0081	0.558316
36.2352	0.514857
39.7777	0.361165
43.6665	0.307393
47.9356	0.426166
52.622	0.702666
57.7666	0.936733
63.4141	0.900901
69.6138	0.769808
76.4196	0.903614
83.8907	1.41834
92.0923	1.9886
101.096	2.27766
110.979	2.54242
121.829	3.16351
133.74	4.1354
146.815	5.18997
161.168	6.21369
176.925	7.25823
194.222	8.21953
213.21	8.77669
234.054	8.61861
256.936	7.4738
282.056	5.18309
309.631	2.21727
339.902	0.370989
373.132	0.208169
409.611	1.33921
449.657	2.60495
493.617	1.58723
541.876	0.311193
594.852	0.0109228
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

