um	
0.375124	0.032456
0.411798	0.061758
0.452057	0.103432
0.496252	0.141843
0.544768	0.177063
0.598027	0.208309
0.656493	0.234861
0.720675	0.255935
0.791132	0.270907
0.868477	0.279252
0.953383	0.280679
1.04659	0.275153
1.14891	0.263463
1.26123	0.246616
1.38454	0.225748
1.5199	0.202104
1.66849	0.176942
1.83161	0.151597
2.01068	0.127574
2.20725	0.106639
2.42304	0.0910804
2.65993	0.0832903
2.91998	0.0857252
3.20545	0.10012
3.51883	0.126652
3.86284	0.163081
4.24049	0.203522
4.65506	0.240474
5.11017	0.265314
5.60976	0.272734
6.1582	0.260683
6.76025	0.233165
7.42117	0.196402
8.14669	0.156996
8.94315	0.122645
9.81748	0.0994197
10.7773	0.0998893
11.8309	0.12032
12.9876	0.143791
14.2573	0.16507
15.6512	0.1663
17.1813	0.136905
18.861	0.109211
20.705	0.110512
22.7292	0.132339
24.9513	0.153237
27.3906	0.183505
30.0685	0.253077
33.0081	0.32184
36.2352	0.296808
39.7777	0.210579
43.6665	0.157288
47.9356	0.187885
52.622	0.327945
57.7666	0.484098
63.4141	0.463745
69.6138	0.323349
76.4196	0.329639
83.8907	0.633388
92.0923	1.07274
101.096	1.31245
110.979	1.54784
121.829	2.17808
133.74	3.25648
146.815	4.49702
161.168	5.76847
176.925	7.19694
194.222	8.74299
213.21	9.96024
234.054	10.2446
256.936	9.23052
282.056	7.01656
309.631	4.30725
339.902	2.27244
373.132	1.60992
409.611	2.07331
449.657	2.69287
493.617	2.17181
541.876	0.757494
594.852	0.0556208
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

