um	
0.375124	0.0269383
0.411798	0.0484745
0.452057	0.0716417
0.496252	0.102136
0.544768	0.126191
0.598027	0.147037
0.656493	0.164599
0.720675	0.180677
0.791132	0.190937
0.868477	0.196062
0.953383	0.195388
1.04659	0.189959
1.14891	0.179605
1.26123	0.164714
1.38454	0.146508
1.5199	0.126149
1.66849	0.106052
1.83161	0.0872166
2.01068	0.0721315
2.20725	0.0610481
2.42304	0.0558126
2.65993	0.0566548
2.91998	0.0655942
3.20545	0.0820075
3.51883	0.105095
3.86284	0.132177
4.24049	0.161585
4.65506	0.19163
5.11017	0.218681
5.60976	0.239298
6.1582	0.248802
6.76025	0.248894
7.42117	0.239303
8.14669	0.224161
8.94315	0.203143
9.81748	0.183192
10.7773	0.168228
11.8309	0.162314
12.9876	0.165773
14.2573	0.169421
15.6512	0.17636
17.1813	0.177883
18.861	0.188921
20.705	0.203891
22.7292	0.229021
24.9513	0.263056
27.3906	0.296916
30.0685	0.339365
33.0081	0.373371
36.2352	0.409586
39.7777	0.437034
43.6665	0.459274
47.9356	0.479526
52.622	0.496282
57.7666	0.51974
63.4141	0.550523
69.6138	0.595139
76.4196	0.65316
83.8907	0.722661
92.0923	0.79841
101.096	0.878196
110.979	0.966262
121.829	1.08819
133.74	1.29148
146.815	1.64296
161.168	2.20371
176.925	2.98571
194.222	3.91215
213.21	4.81657
234.054	5.50828
256.936	5.85888
282.056	5.8614
309.631	5.61979
339.902	5.28524
373.132	4.9775
409.611	4.73501
449.657	4.50866
493.617	4.19757
541.876	3.71462
594.852	3.0578
653.008	2.3423
716.849	1.74269
786.932	1.38298
863.866	1.27782
948.322	1.34102
1041.03	1.42035
1142.81	1.34087
1254.54	1.01132
1377.19	0.544474
1511.83	0.180181
1659.63	0.0291608
1821.88	0.00150912
2000	

