um	
0.375124	0.0368174
0.411798	0.0700911
0.452057	0.117543
0.496252	0.161509
0.544768	0.202146
0.598027	0.238614
0.656493	0.270134
0.720675	0.295808
0.791132	0.314881
0.868477	0.326637
0.953383	0.330564
1.04659	0.326335
1.14891	0.314529
1.26123	0.295963
1.38454	0.271628
1.5199	0.24277
1.66849	0.210821
1.83161	0.177605
2.01068	0.145512
2.20725	0.117649
2.42304	0.0980856
2.65993	0.0909609
2.91998	0.10042
3.20545	0.129739
3.51883	0.179699
3.86284	0.246782
4.24049	0.321413
4.65506	0.391221
5.11017	0.441727
5.60976	0.463386
6.1582	0.451246
6.76025	0.410065
7.42117	0.348416
8.14669	0.277022
8.94315	0.211832
9.81748	0.166234
10.7773	0.161362
11.8309	0.189037
12.9876	0.221454
14.2573	0.252398
15.6512	0.252438
17.1813	0.201639
18.861	0.152156
20.705	0.149561
22.7292	0.183694
24.9513	0.223582
27.3906	0.281225
30.0685	0.395421
33.0081	0.500499
36.2352	0.45432
39.7777	0.321583
43.6665	0.263301
47.9356	0.354464
52.622	0.619375
57.7666	0.894573
63.4141	0.909891
69.6138	0.778019
76.4196	0.925578
83.8907	1.62098
92.0923	2.56537
101.096	3.19427
110.979	3.73437
121.829	4.77661
133.74	6.3549
146.815	7.88639
161.168	8.93533
176.925	9.59925
194.222	10.1691
213.21	10.2327
234.054	8.2464
256.936	4.1882
282.056	0.963801
309.631	0.0509058
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

