um	
0.375124	0.0226336
0.411798	0.043105
0.452057	0.0723014
0.496252	0.0993777
0.544768	0.12442
0.598027	0.14691
0.656493	0.166343
0.720675	0.182144
0.791132	0.193798
0.868477	0.20082
0.953383	0.202822
1.04659	0.199553
1.14891	0.191338
1.26123	0.178702
1.38454	0.162314
1.5199	0.143044
1.66849	0.121914
1.83161	0.100165
2.01068	0.0793062
2.20725	0.0611077
2.42304	0.0477004
2.65993	0.0410214
2.91998	0.042769
3.20545	0.05417
3.51883	0.0754542
3.86284	0.105071
4.24049	0.138857
4.65506	0.17147
5.11017	0.196722
5.60976	0.2102
6.1582	0.209421
6.76025	0.19566
7.42117	0.172254
8.14669	0.143925
8.94315	0.118788
9.81748	0.103384
10.7773	0.105776
11.8309	0.122205
12.9876	0.140185
14.2573	0.157032
15.6512	0.16064
17.1813	0.141448
18.861	0.120468
20.705	0.119185
22.7292	0.136907
24.9513	0.164014
27.3906	0.201939
30.0685	0.257603
33.0081	0.301732
36.2352	0.286012
39.7777	0.239369
43.6665	0.22275
47.9356	0.260709
52.622	0.351425
57.7666	0.430963
63.4141	0.407356
69.6138	0.326084
76.4196	0.333168
83.8907	0.493884
92.0923	0.702793
101.096	0.804971
110.979	0.889241
121.829	1.15586
133.74	1.68464
146.815	2.42479
161.168	3.35298
176.925	4.55654
194.222	6.09102
213.21	7.77197
234.054	9.15392
256.936	9.72862
282.056	9.17423
309.631	7.64416
339.902	5.83965
373.132	4.50556
409.611	3.92275
449.657	3.8478
493.617	3.5302
541.876	2.28272
594.852	0.689892
653.008	0.0458226
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

