um	
0.375124	0.0318609
0.411798	0.0606461
0.452057	0.101643
0.496252	0.139537
0.544768	0.17442
0.598027	0.205532
0.656493	0.232158
0.720675	0.253486
0.791132	0.268822
0.868477	0.277525
0.953383	0.279113
1.04659	0.273307
1.14891	0.26061
1.26123	0.241792
1.38454	0.217737
1.5199	0.189613
1.66849	0.158723
1.83161	0.12677
2.01068	0.0959715
2.20725	0.0692078
2.42304	0.050384
2.65993	0.0429162
2.91998	0.0500092
3.20545	0.0747242
3.51883	0.117972
3.86284	0.176543
4.24049	0.241656
4.65506	0.302575
5.11017	0.346791
5.60976	0.366562
6.1582	0.358181
6.76025	0.326585
7.42117	0.280272
8.14669	0.227967
8.94315	0.183246
9.81748	0.154837
10.7773	0.161604
11.8309	0.198963
12.9876	0.237956
14.2573	0.271099
15.6512	0.271209
17.1813	0.223829
18.861	0.182521
20.705	0.194286
22.7292	0.252427
24.9513	0.322153
27.3906	0.405674
30.0685	0.518905
33.0081	0.597915
36.2352	0.57361
39.7777	0.548507
43.6665	0.640629
47.9356	0.83674
52.622	1.08068
57.7666	1.30002
63.4141	1.40117
69.6138	1.45723
76.4196	1.72415
83.8907	2.31573
92.0923	2.94935
101.096	3.32083
110.979	3.63251
121.829	4.20559
133.74	4.95628
146.815	5.59474
161.168	6.1161
176.925	6.70784
194.222	7.33729
213.21	7.70472
234.054	7.41327
256.936	6.12358
282.056	3.91954
309.631	1.33828
339.902	0.226715
373.132	0.481841
409.611	1.85626
449.657	2.36267
493.617	0.996177
541.876	0.0797265
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

