um	
0.375124	0.15502
0.411798	0.27782
0.452057	0.412199
0.496252	0.587883
0.544768	0.726328
0.598027	0.84425
0.656493	0.945489
0.720675	1.03738
0.791132	1.09475
0.868477	1.11723
0.953383	1.1055
1.04659	1.06479
1.14891	0.991717
1.26123	0.88361
1.38454	0.750224
1.5199	0.603862
1.66849	0.458319
1.83161	0.322132
2.01068	0.214473
2.20725	0.144479
2.42304	0.125812
2.65993	0.16451
2.91998	0.292071
3.20545	0.515903
3.51883	0.821111
3.86284	1.17456
4.24049	1.56594
4.65506	1.96584
5.11017	2.30027
5.60976	2.49656
6.1582	2.50891
6.76025	2.36511
7.42117	2.10833
8.14669	1.78343
8.94315	1.43198
9.81748	1.14136
10.7773	0.973268
11.8309	0.952985
12.9876	1.04222
14.2573	1.14
15.6512	1.186
17.1813	1.11904
18.861	1.04765
20.705	1.0077
22.7292	1.0685
24.9513	1.23891
27.3906	1.45241
30.0685	1.69739
33.0081	1.84456
36.2352	1.91288
39.7777	1.87414
43.6665	1.781
47.9356	1.70495
52.622	1.66511
57.7666	1.70224
63.4141	1.78836
69.6138	1.88506
76.4196	1.93328
83.8907	1.88372
92.0923	1.75065
101.096	1.68719
110.979	1.85001
121.829	2.41842
133.74	3.35462
146.815	4.33382
161.168	4.80014
176.925	4.34384
194.222	3.03835
213.21	1.5036
234.054	0.449887
256.936	0.0662405
282.056	0.00270861
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

