um	
0.375124	0.0281808
0.411798	0.0509654
0.452057	0.0766459
0.496252	0.107321
0.544768	0.127322
0.598027	0.142042
0.656493	0.154566
0.720675	0.161658
0.791132	0.156394
0.868477	0.14212
0.953383	0.126805
1.04659	0.106185
1.14891	0.0765461
1.26123	0.0395184
1.38454	0.0134439
1.5199	0.00219021
1.66849	0.000151282
1.83161	0
2.01068	0
2.20725	0
2.42304	0
2.65993	0
2.91998	0.000372002
3.20545	0.00686823
3.51883	0.051379
3.86284	0.19146
4.24049	0.466073
4.65506	0.821461
5.11017	1.16609
5.60976	1.42219
6.1582	1.55832
6.76025	1.59429
7.42117	1.53106
8.14669	1.39373
8.94315	1.21129
9.81748	1.0822
10.7773	1.06046
11.8309	1.16281
12.9876	1.33665
14.2573	1.45971
15.6512	1.50398
17.1813	1.44066
18.861	1.41704
20.705	1.45208
22.7292	1.60074
24.9513	1.83872
27.3906	2.06923
30.0685	2.28447
33.0081	2.36477
36.2352	2.37347
39.7777	2.30349
43.6665	2.21868
47.9356	2.18183
52.622	2.17892
57.7666	2.22842
63.4141	2.27961
69.6138	2.30854
76.4196	2.30036
83.8907	2.27303
92.0923	2.29504
101.096	2.51535
110.979	3.06271
121.829	4.03872
133.74	5.27236
146.815	6.29323
161.168	6.51939
176.925	5.6476
194.222	3.92768
213.21	2.00173
234.054	0.662902
256.936	0.110206
282.056	0.00657098
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

