um	
0.375124	0.041678
0.411798	0.0792216
0.452057	0.132411
0.496252	0.181029
0.544768	0.225055
0.598027	0.263395
0.656493	0.295086
0.720675	0.319135
0.791132	0.334836
0.868477	0.341683
0.953383	0.339582
1.04659	0.328816
1.14891	0.310761
1.26123	0.286948
1.38454	0.258997
1.5199	0.228435
1.66849	0.196691
1.83161	0.165123
2.01068	0.135466
2.20725	0.110063
2.42304	0.092598
2.65993	0.0873753
2.91998	0.0992042
3.20545	0.132688
3.51883	0.189641
3.86284	0.266963
4.24049	0.354121
4.65506	0.43681
5.11017	0.49772
5.60976	0.525281
6.1582	0.513153
6.76025	0.466949
7.42117	0.396293
8.14669	0.313195
8.94315	0.235938
9.81748	0.182163
10.7773	0.179908
11.8309	0.215379
12.9876	0.251842
14.2573	0.283152
15.6512	0.275295
17.1813	0.21355
18.861	0.164281
20.705	0.177731
22.7292	0.23153
24.9513	0.270674
27.3906	0.314809
30.0685	0.42974
33.0081	0.554907
36.2352	0.514127
39.7777	0.375396
43.6665	0.332903
47.9356	0.451947
52.622	0.713986
57.7666	0.934828
63.4141	0.906571
69.6138	0.789741
76.4196	0.928205
83.8907	1.4375
92.0923	1.99906
101.096	2.27927
110.979	2.53874
121.829	3.17286
133.74	4.17078
146.815	5.22359
161.168	6.20709
176.925	7.23024
194.222	8.23847
213.21	8.86348
234.054	8.67555
256.936	7.41708
282.056	5.11899
309.631	2.22019
339.902	0.377339
373.132	0.235828
409.611	1.52113
449.657	2.77536
493.617	1.31086
541.876	0.111596
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

