um	
0.375124	0.0383632
0.411798	0.0730135
0.452057	0.122372
0.496252	0.167999
0.544768	0.210028
0.598027	0.247567
0.656493	0.279797
0.720675	0.305794
0.791132	0.324811
0.868477	0.336166
0.953383	0.339422
1.04659	0.334365
1.14891	0.321722
1.26123	0.302444
1.38454	0.277628
1.5199	0.24856
1.66849	0.216637
1.83161	0.183568
2.01068	0.151568
2.20725	0.123568
2.42304	0.10355
2.65993	0.0957126
2.91998	0.104405
3.20545	0.133097
3.51883	0.182777
3.86284	0.250075
4.24049	0.325256
4.65506	0.395605
5.11017	0.446101
5.60976	0.466907
6.1582	0.453066
6.76025	0.409932
7.42117	0.346814
8.14669	0.274946
8.94315	0.210318
9.81748	0.165945
10.7773	0.163622
11.8309	0.194888
12.9876	0.229903
14.2573	0.261657
15.6512	0.259193
17.1813	0.203423
18.861	0.151082
20.705	0.148879
22.7292	0.184854
24.9513	0.225907
27.3906	0.283975
30.0685	0.397672
33.0081	0.499283
36.2352	0.447563
39.7777	0.312683
43.6665	0.256253
47.9356	0.349693
52.622	0.615612
57.7666	0.890016
63.4141	0.904851
69.6138	0.776342
76.4196	0.930893
83.8907	1.63516
92.0923	2.58224
101.096	3.20198
110.979	3.72853
121.829	4.76694
133.74	6.3644
146.815	7.931
161.168	9.00989
176.925	9.66982
194.222	10.25
213.21	10.4471
234.054	8.38496
256.936	3.74508
282.056	0.606991
309.631	0.0177734
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

