um	
0.375124	0.0415239
0.411798	0.0745594
0.452057	0.111885
0.496252	0.156716
0.544768	0.186746
0.598027	0.208536
0.656493	0.227055
0.720675	0.237558
0.791132	0.231047
0.868477	0.211431
0.953383	0.189673
1.04659	0.159758
1.14891	0.117187
1.26123	0.0684786
1.38454	0.0300998
1.5199	0.00951693
1.66849	0.00165089
1.83161	0.000134739
2.01068	0
2.20725	0
2.42304	0
2.65993	0
2.91998	0.00141761
3.20545	0.0179614
3.51883	0.104134
3.86284	0.308252
4.24049	0.649458
4.65506	1.04826
5.11017	1.43254
5.60976	1.71882
6.1582	1.86416
6.76025	1.88902
7.42117	1.79549
8.14669	1.6197
8.94315	1.38987
9.81748	1.21002
10.7773	1.13536
11.8309	1.19063
12.9876	1.33359
14.2573	1.44553
15.6512	1.49798
17.1813	1.43314
18.861	1.39008
20.705	1.38476
22.7292	1.4879
24.9513	1.7075
27.3906	1.96674
30.0685	2.2784
33.0081	2.49108
36.2352	2.63642
39.7777	2.65485
43.6665	2.59501
47.9356	2.53379
52.622	2.49778
57.7666	2.5594
63.4141	2.69495
69.6138	2.86797
76.4196	2.98849
83.8907	2.96223
92.0923	2.76629
101.096	2.56022
110.979	2.55219
121.829	2.95761
133.74	3.77063
146.815	4.68991
161.168	5.15768
176.925	4.70661
194.222	3.38236
213.21	1.74578
234.054	0.567815
256.936	0.091752
282.056	0.00490557
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

