um	
0.375124	0.0331715
0.411798	0.0630988
0.452057	0.105649
0.496252	0.144815
0.544768	0.18066
0.598027	0.212359
0.656493	0.239167
0.720675	0.260257
0.791132	0.274973
0.868477	0.28274
0.953383	0.28321
1.04659	0.276267
1.14891	0.262603
1.26123	0.243136
1.38454	0.218819
1.5199	0.1908
1.66849	0.160197
1.83161	0.128451
2.01068	0.0974133
2.20725	0.0697122
2.42304	0.0493028
2.65993	0.0399893
2.91998	0.0455166
3.20545	0.0696242
3.51883	0.114284
3.86284	0.176895
4.24049	0.248195
4.65506	0.316573
5.11017	0.367989
5.60976	0.393852
6.1582	0.389735
6.76025	0.360606
7.42117	0.315013
8.14669	0.260344
8.94315	0.210362
9.81748	0.176384
10.7773	0.184453
11.8309	0.231066
12.9876	0.279713
14.2573	0.319954
15.6512	0.321185
17.1813	0.26556
18.861	0.214958
20.705	0.226354
22.7292	0.291226
24.9513	0.363217
27.3906	0.446927
30.0685	0.572948
33.0081	0.664521
36.2352	0.622186
39.7777	0.554942
43.6665	0.601706
47.9356	0.77575
52.622	1.04316
57.7666	1.29144
63.4141	1.35748
69.6138	1.33287
76.4196	1.57213
83.8907	2.262
92.0923	3.06983
101.096	3.57365
110.979	4.0157
121.829	4.85168
133.74	6.03039
146.815	7.07383
161.168	7.69334
176.925	8.00854
194.222	8.27343
213.21	8.20621
234.054	6.67868
256.936	3.58686
282.056	0.912896
309.631	0.0539966
339.902	0
373.132	0.0456687
409.611	0.66619
449.657	1.87194
493.617	1.75126
541.876	0.545309
594.852	0.0326825
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

