um	
0.375124	0.0475743
0.411798	0.0853766
0.452057	0.126156
0.496252	0.179793
0.544768	0.222137
0.598027	0.258361
0.656493	0.288803
0.720675	0.31654
0.791132	0.334291
0.868477	0.342432
0.953383	0.34037
1.04659	0.33019
1.14891	0.3121
1.26123	0.286185
1.38454	0.254818
1.5199	0.220662
1.66849	0.188309
1.83161	0.159578
2.01068	0.138215
2.20725	0.124854
2.42304	0.122348
2.65993	0.131936
2.91998	0.156923
3.20545	0.195664
3.51883	0.244445
3.86284	0.297959
4.24049	0.352947
4.65506	0.405848
5.11017	0.448243
5.60976	0.471655
6.1582	0.468805
6.76025	0.444503
7.42117	0.403639
8.14669	0.353897
8.94315	0.297069
9.81748	0.245951
10.7773	0.210101
11.8309	0.197491
12.9876	0.206099
14.2573	0.220072
15.6512	0.235009
17.1813	0.235637
18.861	0.241888
20.705	0.25208
22.7292	0.278388
24.9513	0.321237
27.3906	0.367183
30.0685	0.42189
33.0081	0.460003
36.2352	0.491779
39.7777	0.507373
43.6665	0.515017
47.9356	0.524286
52.622	0.535556
57.7666	0.559387
63.4141	0.5939
69.6138	0.642659
76.4196	0.704532
83.8907	0.77942
92.0923	0.865966
101.096	0.968088
110.979	1.09503
121.829	1.27794
133.74	1.56769
146.815	2.0297
161.168	2.71175
176.925	3.59316
194.222	4.55301
213.21	5.38817
234.054	5.89988
256.936	5.98931
282.056	5.70672
309.631	5.21633
339.902	4.7077
373.132	4.30603
409.611	4.02986
449.657	3.80217
493.617	3.49924
541.876	3.0251
594.852	2.38478
653.008	1.70418
716.849	1.16117
786.932	0.863695
863.866	0.80043
948.322	0.887571
1041.03	0.98319
1142.81	0.925335
1254.54	0.624763
1377.19	0.271996
1511.83	0.0559595
1659.63	0.0045355
1821.88	0
2000	

