um	
0.375124	0.0825615
0.411798	0.146434
0.452057	0.217737
0.496252	0.305217
0.544768	0.368112
0.598027	0.412845
0.656493	0.450006
0.720675	0.471799
0.791132	0.466569
0.868477	0.434329
0.953383	0.394592
1.04659	0.337499
1.14891	0.259858
1.26123	0.171576
1.38454	0.0901628
1.5199	0.0359695
1.66849	0.00746568
1.83161	0.000738778
2.01068	0
2.20725	0
2.42304	0
2.65993	0
2.91998	0.0018248
3.20545	0.0220076
3.51883	0.123442
3.86284	0.352916
4.24049	0.726375
4.65506	1.15268
5.11017	1.55848
5.60976	1.85316
6.1582	1.99139
6.76025	1.99856
7.42117	1.88189
8.14669	1.68278
8.94315	1.43586
9.81748	1.2492
10.7773	1.17881
11.8309	1.2468
12.9876	1.40378
14.2573	1.52393
15.6512	1.57362
17.1813	1.49835
18.861	1.44241
20.705	1.4268
22.7292	1.52085
24.9513	1.72933
27.3906	1.97079
30.0685	2.25569
33.0081	2.43976
36.2352	2.5619
39.7777	2.57198
43.6665	2.51703
47.9356	2.46427
52.622	2.42717
57.7666	2.46633
63.4141	2.5559
69.6138	2.66727
76.4196	2.73095
83.8907	2.67352
92.0923	2.48301
101.096	2.31256
110.979	2.34378
121.829	2.77686
133.74	3.58836
146.815	4.47617
161.168	4.8991
176.925	4.42116
194.222	3.09646
213.21	1.53682
234.054	0.462862
256.936	0.0686787
282.056	0.00287197
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

