um	
0.375124	0.0404186
0.411798	0.0768349
0.452057	0.128444
0.496252	0.17565
0.544768	0.21844
0.598027	0.255758
0.656493	0.286668
0.720675	0.310198
0.791132	0.325645
0.868477	0.332486
0.953383	0.330589
1.04659	0.32017
1.14891	0.302512
1.26123	0.279051
1.38454	0.25133
1.5199	0.220825
1.66849	0.188968
1.83161	0.157162
2.01068	0.127253
2.20725	0.101721
2.42304	0.0843719
2.65993	0.0795488
2.91998	0.0919879
3.20545	0.126357
3.51883	0.184472
3.86284	0.263071
4.24049	0.351513
4.65506	0.435299
5.11017	0.497074
5.60976	0.525105
6.1582	0.513106
6.76025	0.466753
7.42117	0.395852
8.14669	0.312943
8.94315	0.236245
9.81748	0.182602
10.7773	0.179067
11.8309	0.212295
12.9876	0.246999
14.2573	0.277096
15.6512	0.269522
17.1813	0.21012
18.861	0.16345
20.705	0.178155
22.7292	0.231493
24.9513	0.269325
27.3906	0.311881
30.0685	0.425864
33.0081	0.553055
36.2352	0.51689
39.7777	0.379845
43.6665	0.33377
47.9356	0.445166
52.622	0.698588
57.7666	0.918962
63.4141	0.90119
69.6138	0.79267
76.4196	0.92889
83.8907	1.42911
92.0923	1.98968
101.096	2.28126
110.979	2.54409
121.829	3.15826
133.74	4.1222
146.815	5.15444
161.168	6.135
176.925	7.14331
194.222	8.10939
213.21	8.69384
234.054	8.51095
256.936	7.31606
282.056	5.11366
309.631	2.37618
339.902	0.493349
373.132	0.231613
409.611	1.2518
449.657	2.6468
493.617	2.02955
541.876	0.609933
594.852	0.0388105
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

