um	
0.375124	0.071364
0.411798	0.127869
0.452057	0.189279
0.496252	0.269566
0.544768	0.333108
0.598027	0.387159
0.656493	0.433311
0.720675	0.474903
0.791132	0.501585
0.868477	0.513317
0.953383	0.510562
1.04659	0.495546
1.14891	0.468114
1.26123	0.428063
1.38454	0.379601
1.5199	0.327344
1.66849	0.277016
1.83161	0.23119
2.01068	0.194924
2.20725	0.170799
2.42304	0.163974
2.65993	0.17753
2.91998	0.215793
3.20545	0.27602
3.51883	0.353224
3.86284	0.441868
4.24049	0.536595
4.65506	0.627185
5.11017	0.693131
5.60976	0.71738
6.1582	0.692066
6.76025	0.629233
7.42117	0.54313
8.14669	0.446201
8.94315	0.3498
9.81748	0.275572
10.7773	0.23614
11.8309	0.23507
12.9876	0.25932
14.2573	0.280378
15.6512	0.285471
17.1813	0.263224
18.861	0.248463
20.705	0.247944
22.7292	0.278259
24.9513	0.3365
27.3906	0.400366
30.0685	0.466033
33.0081	0.501596
36.2352	0.520747
39.7777	0.520525
43.6665	0.515536
47.9356	0.520178
52.622	0.532708
57.7666	0.559317
63.4141	0.591842
69.6138	0.628926
76.4196	0.668783
83.8907	0.714251
92.0923	0.769905
101.096	0.845361
110.979	0.951902
121.829	1.11578
133.74	1.37317
146.815	1.7643
161.168	2.30572
176.925	2.95131
194.222	3.58041
213.21	4.02663
234.054	4.15719
256.936	3.94748
282.056	3.5049
309.631	3.01831
339.902	2.66389
373.132	2.53578
409.611	2.63096
449.657	2.86518
493.617	3.10049
541.876	3.21012
594.852	3.14009
653.008	2.9347
716.849	2.68759
786.932	2.4874
863.866	2.36496
948.322	2.28307
1041.03	2.15477
1142.81	1.92374
1254.54	1.57422
1377.19	1.18683
1511.83	0.872978
1659.63	0.677725
1821.88	0.658247
2000	

