um	
0.375124	0.0332155
0.411798	0.0597594
0.452057	0.0883813
0.496252	0.126081
0.544768	0.155947
0.598027	0.181981
0.656493	0.204181
0.720675	0.224706
0.791132	0.238248
0.868477	0.245692
0.953383	0.246314
1.04659	0.241322
1.14891	0.230424
1.26123	0.214076
1.38454	0.193723
1.5199	0.170734
1.66849	0.14785
1.83161	0.126137
2.01068	0.108419
2.20725	0.0950797
2.42304	0.0882901
2.65993	0.0883619
2.91998	0.0974862
3.20545	0.114799
3.51883	0.139235
3.86284	0.167847
4.24049	0.198758
4.65506	0.230119
5.11017	0.257922
5.60976	0.278383
6.1582	0.286377
6.76025	0.283957
7.42117	0.271012
8.14669	0.252248
8.94315	0.22715
9.81748	0.203222
10.7773	0.184911
11.8309	0.177063
12.9876	0.180395
14.2573	0.185015
15.6512	0.193928
17.1813	0.197023
18.861	0.210229
20.705	0.227345
22.7292	0.255572
24.9513	0.293635
27.3906	0.331497
30.0685	0.378125
33.0081	0.413961
36.2352	0.450112
39.7777	0.475444
43.6665	0.495923
47.9356	0.518107
52.622	0.542478
57.7666	0.580266
63.4141	0.630168
69.6138	0.69524
76.4196	0.77099
83.8907	0.853451
92.0923	0.93857
101.096	1.03148
110.979	1.14779
121.829	1.3281
133.74	1.6335
146.815	2.1379
161.168	2.89335
176.925	3.87633
194.222	4.95406
213.21	5.90596
234.054	6.51434
256.936	6.66239
282.056	6.38686
309.631	5.84583
339.902	5.23279
373.132	4.6853
409.611	4.23858
449.657	3.83207
493.617	3.35942
541.876	2.739
594.852	1.9843
653.008	1.24056
716.849	0.708505
786.932	0.471009
863.866	0.4909
948.322	0.694105
1041.03	0.949375
1142.81	1.03852
1254.54	0.799163
1377.19	0.405173
1511.83	0.104194
1659.63	0.0121501
1821.88	0.000117019
2000	

