um	
0.375124	0.103361
0.411798	0.183799
0.452057	0.267245
0.496252	0.381173
0.544768	0.470721
0.598027	0.542669
0.656493	0.593577
0.720675	0.638851
0.791132	0.664589
0.868477	0.664342
0.953383	0.630709
1.04659	0.572443
1.14891	0.504049
1.26123	0.420205
1.38454	0.321553
1.5199	0.190057
1.66849	0.0792653
1.83161	0.0158619
2.01068	0.00138227
2.20725	0
2.42304	0.000353728
2.65993	0.0087202
2.91998	0.0603293
3.20545	0.208514
3.51883	0.453998
3.86284	0.756017
4.24049	1.07678
4.65506	1.40361
5.11017	1.69977
5.60976	1.91896
6.1582	2.02126
6.76025	2.00409
7.42117	1.87963
8.14669	1.67865
8.94315	1.42793
9.81748	1.19363
10.7773	1.02688
11.8309	0.958735
12.9876	0.972626
14.2573	1.00005
15.6512	1.01327
17.1813	0.963477
18.861	0.932786
20.705	0.932419
22.7292	1.01318
24.9513	1.17278
27.3906	1.35178
30.0685	1.54494
33.0081	1.64894
36.2352	1.69288
39.7777	1.66127
43.6665	1.60705
47.9356	1.59521
52.622	1.63668
57.7666	1.75929
63.4141	1.92521
69.6138	2.08782
76.4196	2.18331
83.8907	2.16962
92.0923	2.07417
101.096	2.07779
110.979	2.38492
121.829	3.22372
133.74	4.58284
146.815	6.04502
161.168	6.85582
176.925	6.41579
194.222	4.78067
213.21	2.58932
234.054	0.91166
256.936	0.159646
282.056	0.0103199
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

