um	
0.375124	0
0.411798	0
0.452057	0
0.496252	0
0.544768	0
0.598027	0
0.656493	0
0.720675	0
0.791132	0
0.868477	0
0.953383	0
1.04659	0
1.14891	0
1.26123	0
1.38454	0
1.5199	0
1.66849	0
1.83161	0
2.01068	0
2.20725	0
2.42304	0
2.65993	0
2.91998	0
3.20545	0.00121591
3.51883	0.0208974
3.86284	0.126178
4.24049	0.379037
4.65506	0.746085
5.11017	1.10416
5.60976	1.37749
6.1582	1.53173
6.76025	1.58231
7.42117	1.52707
8.14669	1.38903
8.94315	1.20176
9.81748	1.06924
10.7773	1.05188
11.8309	1.16336
12.9876	1.34678
14.2573	1.47098
15.6512	1.50552
17.1813	1.42781
18.861	1.39436
20.705	1.42755
22.7292	1.58294
24.9513	1.8322
27.3906	2.07472
30.0685	2.30072
33.0081	2.38961
36.2352	2.40967
39.7777	2.35339
43.6665	2.28538
47.9356	2.26681
52.622	2.28039
57.7666	2.34398
63.4141	2.40472
69.6138	2.43902
76.4196	2.43173
83.8907	2.4008
92.0923	2.41589
101.096	2.62924
110.979	3.17277
121.829	4.14985
133.74	5.38833
146.815	6.41245
161.168	6.63259
176.925	5.7408
194.222	3.99093
213.21	2.03384
234.054	0.673934
256.936	0.112123
282.056	0.00670299
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

