um	
0.375124	0.0397771
0.411798	0.0756093
0.452057	0.126412
0.496252	0.1729
0.544768	0.215077
0.598027	0.251905
0.656493	0.28248
0.720675	0.305846
0.791132	0.321317
0.868477	0.328374
0.953383	0.326866
1.04659	0.316973
1.14891	0.299875
1.26123	0.276913
1.38454	0.249432
1.5199	0.218771
1.66849	0.186112
1.83161	0.152709
2.01068	0.120237
2.20725	0.091158
2.42304	0.0696539
2.65993	0.0602435
2.91998	0.0679631
3.20545	0.0977825
3.51883	0.152185
3.86284	0.228325
4.24049	0.314763
4.65506	0.396653
5.11017	0.455899
5.60976	0.481939
6.1582	0.470072
6.76025	0.428519
7.42117	0.369303
8.14669	0.301214
8.94315	0.237936
9.81748	0.193043
10.7773	0.202437
11.8309	0.260587
12.9876	0.320332
14.2573	0.367616
15.6512	0.363047
17.1813	0.289791
18.861	0.230706
20.705	0.255094
22.7292	0.339442
24.9513	0.407288
27.3906	0.477277
30.0685	0.619845
33.0081	0.751439
36.2352	0.709485
39.7777	0.605066
43.6665	0.630876
47.9356	0.817981
52.622	1.11346
57.7666	1.36318
63.4141	1.39181
69.6138	1.3361
76.4196	1.5727
83.8907	2.25536
92.0923	3.01542
101.096	3.45401
110.979	3.84441
121.829	4.6319
133.74	5.75618
146.815	6.74426
161.168	7.30436
176.925	7.56369
194.222	7.81533
213.21	7.77297
234.054	6.24287
256.936	3.19712
282.056	0.754309
309.631	0.0412585
339.902	0
373.132	0.0432178
409.611	0.687592
449.657	2.20125
493.617	2.50591
541.876	0.984919
594.852	0.073855
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

