um	
0.375124	0.0362147
0.411798	0.0688781
0.452057	0.115271
0.496252	0.157901
0.544768	0.196817
0.598027	0.23112
0.656493	0.260005
0.720675	0.282607
0.791132	0.298275
0.868477	0.306481
0.953383	0.307003
1.04659	0.299897
1.14891	0.28614
1.26123	0.266886
1.38454	0.24339
1.5199	0.21694
1.66849	0.188806
1.83161	0.160326
2.01068	0.133169
2.20725	0.109527
2.42304	0.092606
2.65993	0.0859909
2.91998	0.0935987
3.20545	0.11878
3.51883	0.162677
3.86284	0.222635
4.24049	0.290103
4.65506	0.353741
5.11017	0.399933
5.60976	0.419814
6.1582	0.408804
6.76025	0.371603
7.42117	0.31624
8.14669	0.252143
8.94315	0.193687
9.81748	0.154609
10.7773	0.156978
11.8309	0.190837
12.9876	0.225276
14.2573	0.25421
15.6512	0.250562
17.1813	0.200941
18.861	0.159686
20.705	0.168833
22.7292	0.210905
24.9513	0.244893
27.3906	0.285677
30.0685	0.38192
33.0081	0.484356
36.2352	0.463141
39.7777	0.360249
43.6665	0.310594
47.9356	0.378123
52.622	0.574492
57.7666	0.767631
63.4141	0.752959
69.6138	0.624258
76.4196	0.68741
83.8907	1.08305
92.0923	1.58548
101.096	1.89776
110.979	2.22014
121.829	2.88772
133.74	3.90441
146.815	5.02676
161.168	6.12099
176.925	7.20922
194.222	8.24692
213.21	8.99214
234.054	9.04477
256.936	8.02668
282.056	5.87668
309.631	3.04649
339.902	0.966206
373.132	0.629894
409.611	1.78527
449.657	2.92807
493.617	1.85024
541.876	0.415655
594.852	0.0189252
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

