um	
0.375124	0.115961
0.411798	0.207512
0.452057	0.305661
0.496252	0.436103
0.544768	0.53878
0.598027	0.625343
0.656493	0.695242
0.720675	0.758325
0.791132	0.796158
0.868477	0.808114
0.953383	0.78996
1.04659	0.746771
1.14891	0.680837
1.26123	0.591673
1.38454	0.484829
1.5199	0.362366
1.66849	0.239794
1.83161	0.122737
2.01068	0.0440302
2.20725	0.0078291
2.42304	0.00353401
2.65993	0.0180435
2.91998	0.0991666
3.20545	0.275018
3.51883	0.529672
3.86284	0.822639
4.24049	1.15296
4.65506	1.49765
5.11017	1.79639
5.60976	1.98736
6.1582	2.03104
6.76025	1.94097
7.42117	1.74684
8.14669	1.48447
8.94315	1.19326
9.81748	0.946421
10.7773	0.795511
11.8309	0.758728
12.9876	0.802268
14.2573	0.846352
15.6512	0.848841
17.1813	0.774509
18.861	0.714984
20.705	0.695257
22.7292	0.762851
24.9513	0.909481
27.3906	1.07321
30.0685	1.23504
33.0081	1.30574
36.2352	1.31699
39.7777	1.27478
43.6665	1.23259
47.9356	1.24892
52.622	1.32387
57.7666	1.46415
63.4141	1.62654
69.6138	1.7698
76.4196	1.85727
83.8907	1.89205
92.0923	1.93029
101.096	2.12688
110.979	2.66101
121.829	3.69631
133.74	5.18891
146.815	6.68908
161.168	7.47963
176.925	7.01982
194.222	5.36584
213.21	3.03828
234.054	1.15577
256.936	0.218287
282.056	0.0166604
309.631	0
339.902	0
373.132	0
409.611	0
449.657	0
493.617	0
541.876	0
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

