um	
0.375124	0.046805
0.411798	0.0840173
0.452057	0.124127
0.496252	0.176875
0.544768	0.218479
0.598027	0.254054
0.656493	0.283877
0.720675	0.310998
0.791132	0.328238
0.868477	0.336012
0.953383	0.333679
1.04659	0.323318
1.14891	0.305158
1.26123	0.279341
1.38454	0.248218
1.5199	0.21442
1.66849	0.182517
1.83161	0.154345
2.01068	0.133666
2.20725	0.121075
2.42304	0.11935
2.65993	0.12965
2.91998	0.155322
3.20545	0.194764
3.51883	0.244281
3.86284	0.298393
4.24049	0.353778
4.65506	0.406926
5.11017	0.449615
5.60976	0.473463
6.1582	0.471079
6.76025	0.447163
7.42117	0.406447
8.14669	0.35674
8.94315	0.299639
9.81748	0.247818
10.7773	0.210826
11.8309	0.19686
12.9876	0.204332
14.2573	0.217644
15.6512	0.232838
17.1813	0.23452
18.861	0.242486
20.705	0.254565
22.7292	0.282793
24.9513	0.327291
27.3906	0.374455
30.0685	0.429963
33.0081	0.468329
36.2352	0.500043
39.7777	0.515262
43.6665	0.522415
47.9356	0.531188
52.622	0.541928
57.7666	0.565272
63.4141	0.599322
69.6138	0.647913
76.4196	0.710286
83.8907	0.786808
92.0923	0.876359
101.096	0.982538
110.979	1.1137
121.829	1.30018
133.74	1.59277
146.815	2.05784
161.168	2.74459
176.925	3.63282
194.222	4.59942
213.21	5.43604
234.054	5.93828
256.936	6.00544
282.056	5.69245
309.631	5.17333
339.902	4.64773
373.132	4.24626
409.611	3.98618
449.657	3.78274
493.617	3.49954
541.876	3.02818
594.852	2.36979
653.008	1.66194
716.849	1.10391
786.932	0.811798
863.866	0.7698
948.322	0.888306
1041.03	1.01124
1142.81	0.957987
1254.54	0.642531
1377.19	0.275196
1511.83	0.0557328
1659.63	0.00438923
1821.88	0
2000	

