um	
0.375124	0.0330878
0.411798	0.0629635
0.452057	0.105468
0.496252	0.144668
0.544768	0.180637
0.598027	0.212572
0.656493	0.239728
0.720675	0.261276
0.791132	0.276533
0.868477	0.284891
0.953383	0.285942
1.04659	0.279504
1.14891	0.266214
1.26123	0.246951
1.38454	0.222688
1.5199	0.194615
1.66849	0.163995
1.83161	0.132404
2.01068	0.101875
2.20725	0.075089
2.42304	0.0557943
2.65993	0.0474984
2.91998	0.0536093
3.20545	0.0772532
3.51883	0.119587
3.86284	0.17774
4.24049	0.243079
4.65506	0.304766
5.11017	0.350023
5.60976	0.370768
6.1582	0.362985
6.76025	0.331487
7.42117	0.284729
8.14669	0.231744
8.94315	0.1864
9.81748	0.157675
10.7773	0.164577
11.8309	0.201929
12.9876	0.240669
14.2573	0.27365
15.6512	0.273614
17.1813	0.226477
18.861	0.185399
20.705	0.196563
22.7292	0.253304
24.9513	0.321838
27.3906	0.404545
30.0685	0.518501
33.0081	0.600087
36.2352	0.573912
39.7777	0.541025
43.6665	0.625906
47.9356	0.823014
52.622	1.077
57.7666	1.30287
63.4141	1.39905
69.6138	1.45047
76.4196	1.72506
83.8907	2.33088
92.0923	2.96462
101.096	3.32077
110.979	3.62993
121.829	4.22945
133.74	5.02326
146.815	5.69379
161.168	6.2154
176.925	6.77118
194.222	7.35322
213.21	7.71405
234.054	7.45054
256.936	6.14229
282.056	3.8788
309.631	1.3022
339.902	0.24787
373.132	0.563531
409.611	1.83852
449.657	2.0148
493.617	0.753904
541.876	0.0553141
594.852	0
653.008	0
716.849	0
786.932	0
863.866	0
948.322	0
1041.03	0
1142.81	0
1254.54	0
1377.19	0
1511.83	0
1659.63	0
1821.88	0
2000	

